generation,best_fitness,mean_fitness,neuron_count,synapse_count
1,0.192124,0,4,3
2,0.228433,0,4,3
3,0.26671,0,4,3
4,0.286274,0,4,3
5,0.287557,0,4,3
6,0.287563,0,4,3
7,0.2876,0,4,3
8,0.287665,0,4,3
9,0.287829,0,4,3
10,0.292945,0,4,3
11,0.294937,0,4,3
12,0.295322,0,4,3
13,0.295495,0,4,3
14,0.295495,0,4,3
15,0.295516,0,4,3
16,0.295541,0,4,3
17,0.295784,0,4,3
18,0.296251,0,4,3
19,0.298054,0,4,3
20,0.298173,0,4,3
21,0.301931,0,4,3
22,0.312049,0,4,3
23,0.324938,0,4,3
24,0.331216,0,4,3
25,0.337582,0,4,3
26,0.337582,0,4,3
27,0.33773,0,4,3
28,0.337741,0,4,3
29,0.764764,0,6,9
30,0.76765,0,6,9
31,0.773665,0,6,9
32,0.786552,0,6,9
33,0.822435,0,6,9
34,0.868747,0,6,9
35,0.915759,0,6,9
36,0.926026,0,6,9
37,0.928036,0,6,9
38,0.931276,0,6,9
39,0.934282,0,6,9
40,0.935101,0,6,9
41,0.938977,0,6,9
42,0.941051,0,6,9
43,0.941051,0,6,9
44,0.94111,0,6,9
45,0.941158,0,6,9
46,0.941158,0,6,9
47,0.941158,0,6,9
48,0.941268,0,6,9
49,0.941425,0,6,9
50,0.942087,0,6,9
51,0.942272,0,6,9
52,0.942272,0,6,9
53,0.942296,0,6,9
54,0.942527,0,6,9
55,0.942827,0,6,9
56,0.943586,0,6,9
57,0.945569,0,6,11
58,0.952374,0,6,11
59,0.952374,0,6,11
60,0.952726,0,6,11
61,0.953274,0,6,11
62,0.954338,0,6,11
63,0.956915,0,6,11
64,0.959471,0,6,11
65,0.962806,0,6,11
66,0.966875,0,6,11
67,0.966875,0,6,11
68,0.966966,0,6,11
69,0.967139,0,6,11
70,0.967594,0,6,11
71,0.970086,0,6,11
72,0.972195,0,6,11
73,0.972566,0,6,11
74,0.972566,0,6,11
75,0.972722,0,6,11
76,0.972898,0,6,11
77,0.973094,0,6,11
78,0.973101,0,6,11
79,0.973263,0,6,11
80,0.973512,0,6,11
81,0.973961,0,6,11
82,0.974018,0,6,11
83,0.974541,0,6,11
84,0.974697,0,6,11
85,0.974874,0,7,12
86,0.975146,0,7,12
87,0.975492,0,7,12
88,0.976215,0,7,12
89,0.976398,0,7,12
90,0.977245,0,7,12
91,0.977507,0,7,12
92,0.977507,0,7,12
93,0.978001,0,7,12
94,0.978001,0,7,12
95,0.978077,0,7,12
96,0.978092,0,7,12
97,0.978093,0,7,12
98,0.9781,0,7,12
99,0.978127,0,7,12
100,0.978127,0,7,12
101,0.978136,0,7,12
102,0.978144,0,7,12
103,0.97816,0,7,12
104,0.978195,0,7,12
105,0.978259,0,7,12
106,0.978259,0,7,12
107,0.978285,0,7,12
108,0.978308,0,7,12
109,0.978345,0,7,12
110,0.978496,0,7,12
111,0.978676,0,7,12
112,0.978735,0,7,12
113,0.978993,0,6,10
114,0.978993,0,6,10
115,0.979316,0,6,10
116,0.979594,0,6,10
117,0.979902,0,6,10
118,0.980182,0,6,10
119,0.981887,0,6,10
120,0.984274,0,6,10
121,0.984625,0,6,10
