generation,best_fitness,mean_fitness,neuron_count,synapse_count
0,-12.28,-46.9291,12,32
1,-12.28,-46.0213,12,32
2,-12.28,-43.1763,12,32
3,6.92,-38.1504,12,32
4,6.92,-36.6419,12,32
5,6.92,-35.3218,12,32
6,8.76,-36.16,12,32
7,8.76,-35.1623,12,32
8,8.8,-36.718,12,32
9,8.8,-34.7875,12,32
10,27.3,-34.8685,12,32
11,27.3,-34.4563,12,32
12,27.3,-34.1216,12,32
13,27.3,-34.0681,12,32
14,28.26,-33.1697,12,32
15,46.68,-31.3632,13,33
16,46.68,-32.3192,13,33
17,46.68,-30.9802,13,33
18,46.68,-31.2923,13,33
19,46.68,-30.5874,13,33
20,46.68,-31.0672,13,33
21,46.68,-28.4834,13,33
22,46.68,-29.7161,13,33
23,47.1,-29.5885,13,33
24,47.1,-29.4818,13,33
25,47.1,-27.5165,13,33
26,47.1,-26.577,13,33
27,47.1,-25.6387,13,33
28,47.1,-21.1249,13,33
29,47.1,-19.157,13,33
30,47.1,-19.2502,13,33
31,47.1,-16.8168,13,33
32,66.86,-14.9645,14,34
33,66.86,-14.3607,14,34
34,86.24,-9.3379,13,33
35,86.24,-10.0341,13,33
36,86.24,-7.5716,13,33
37,86.24,-6.1154,13,33
38,86.24,-5.8202,13,33
39,86.24,-5.3558,13,33
40,86.24,-9.128,13,33
41,86.24,-9.5592,13,33
42,86.24,-7.3168,13,33
43,86.24,-5.4981,13,33
44,86.8,-4.7313,15,35
45,86.8,-5.2585,15,35
46,86.8,-3.9367,15,35
47,86.8,-4.2216,15,35
48,86.8,1.0643,15,35
49,86.8,-1.0333,15,35
50,86.8,-3.0826,15,35
51,86.8,-2.9176,15,35
52,86.8,-1.7014,15,35
53,86.8,0.1104,15,35
54,86.8,1.0929,15,35
55,86.8,-1.4315,15,35
56,86.8,3.616,15,35
57,86.8,2.0929,15,35
58,86.8,1.9038,15,35
59,86.8,-0.2766,15,35
60,86.8,4.7378,15,35
61,86.8,0.8425,15,35
62,86.8,4.9828,15,35
63,86.8,6.3207,15,35
64,86.8,6.0458,15,35
65,88,4.5807,17,37
66,88,4.1769,17,37
67,88,5.9829,17,37
68,88,8.8505,17,37
69,106.28,13.089,16,36
70,106.28,13.3328,16,36
71,107.12,14.261,16,36
72,107.12,13.8534,16,36
73,107.12,11.4033,16,36
74,107.12,15.3671,16,36
75,107.12,14.4136,16,36
76,107.12,16.6121,16,36
77,107.12,18.6815,16,36
78,107.12,22.0262,16,36
79,107.12,22.1962,16,36
80,107.12,18.543,16,36
81,107.12,20.4269,16,36
82,107.12,18.7455,16,36
83,107.12,17.4266,16,36
84,107.12,16.9785,16,36
85,107.12,22.4512,16,36
86,107.12,22.6176,16,36
87,107.12,17.1362,16,36
88,107.12,18.2593,16,36
89,107.12,22.4668,16,36
90,107.12,25.779,16,36
91,107.12,29.3422,16,36
92,107.12,29.2024,16,36
93,107.12,33.4564,16,36
94,107.12,31.7771,16,36
95,107.12,35.0189,16,36
96,107.12,36.1348,16,36
97,107.12,33.6617,16,36
98,107.12,38.5813,16,36
99,107.12,39.232,16,36
100,107.12,41.1089,16,36
101,107.12,38.205,16,36
102,107.12,40.7946,16,36
103,107.12,37.8781,16,36
104,107.12,42.3648,16,36
105,107.12,40.9653,16,36
106,107.12,42.0276,16,36
107,107.12,47.9394,16,36
