generation,best_fitness,mean_fitness,accuracy,neuron_count,synapse_count
161,0.75,0,0.5,5,3
162,0.75,0,0.5,5,3
163,0.75,0,0.5,5,3
164,0.75,0,0.5,5,3
165,0.75,0,0.5,5,3
166,0.75,0,0.5,5,3
167,0.75,0,0.5,5,3
168,0.75,0,0.5,5,3
169,0.75,0,0.5,5,3
170,0.75,0,0.5,5,3
171,0.75,0,0.5,5,3
172,0.75,0,0.5,5,3
173,0.75,0,0.5,5,3
174,0.75,0,0.5,5,3
175,0.75,0,0.5,5,3
176,0.75,0,0.5,5,3
177,0.75,0,0.5,5,3
178,0.75,0,0.5,5,3
179,0.75,0,0.5,5,3
180,0.75,0,0.5,5,3
181,0.75,0,0.5,5,3
182,0.75,0,0.5,5,3
183,0.75,0,0.5,5,3
184,0.75,0,0.5,5,3
185,0.75,0,0.5,5,3
186,0.75,0,0.5,5,3
187,0.75,0,0.5,5,3
188,0.75,0,0.5,5,3
189,0.75,0,0.5,5,3
190,0.75,0,0.5,5,3
191,0.75,0,0.5,5,3
192,0.75,0,0.5,5,3
193,0.75,0,0.5,5,3
194,0.75,0,0.5,5,3
195,0.75,0,0.5,5,3
196,0.75,0,0.5,5,3
197,0.75,0,0.5,5,3
198,0.75,0,0.5,5,3
199,0.75,0,0.5,5,3
200,0.75,0,0.5,5,3
201,0.75,0,0.5,5,3
202,0.75,0,0.5,5,3
203,0.75,0,0.5,5,3
204,0.75,0,0.5,5,3
205,0.75,0,0.5,5,3
206,0.75,0,0.5,5,3
207,0.75,0,0.5,5,3
208,0.75,0,0.5,5,3
209,0.75,0,0.5,5,3
210,0.75,0,0.5,5,3
211,0.75,0,0.5,5,3
212,0.75,0,0.5,5,3
213,0.75,0,0.5,5,3
214,0.75,0,0.5,5,3
215,0.75,0,0.5,5,3
216,0.75,0,0.5,5,3
217,0.75,0,0.5,5,3
218,0.75,0,0.5,5,3
219,0.75,0,0.5,5,3
220,0.75,0,0.5,5,3
221,0.75,0,0.5,5,3
222,0.75,0,0.5,5,3
223,0.75,0,0.5,5,3
224,0.75,0,0.5,5,3
225,0.75,0,0.5,5,3
226,0.75,0,0.5,5,3
227,0.75,0,0.5,5,3
228,0.75,0,0.5,5,3
229,0.75,0,0.5,5,3
230,0.75,0,0.5,5,3
231,0.75,0,0.5,5,3
232,0.75,0,0.5,5,3
233,0.75,0,0.5,5,3
234,0.75,0,0.5,5,3
235,0.75,0,0.5,5,3
236,0.75,0,0.5,5,3
237,0.75,0,0.5,5,3
238,0.75,0,0.5,5,3
239,0.75,0,0.5,5,3
240,0.75,0,0.5,5,3
241,0.75,0,0.5,5,3
242,0.75,0,0.5,5,3
243,0.75,0,0.5,5,3
244,0.75,0,0.5,5,3
245,0.75,0,0.5,5,3
246,0.75,0,0.5,5,3
247,0.75,0,0.5,5,3
248,0.75,0,0.5,5,3
249,0.75,0,0.5,5,3
250,0.75,0,0.5,5,3
251,0.75,0,0.5,5,3
252,0.75,0,0.5,5,3
253,0.75,0,0.5,5,3
254,0.75,0,0.5,5,3
255,0.75,0,0.5,5,3
256,0.75,0,0.5,5,3
257,0.75,0,0.5,5,3
258,0.75,0,0.5,5,3
259,0.75,0,0.5,5,3
260,0.75,0,0.5,5,3
261,0.75,0,0.5,5,3
262,0.75,0,0.5,5,3
263,0.75,0,0.5,5,3
264,0.75,0,0.5,5,3
265,0.75,0,0.5,5,3
266,0.75,0,0.5,5,3
267,0.75,0,0.5,5,3
268,0.75,0,0.5,5,3
269,0.75,0,0.5,5,3
270,0.75,0,0.5,5,3
271,0.75,0,0.5,5,3
272,0.75,0,0.5,5,3
273,0.75,0,0.5,5,3
274,0.75,0,0.5,5,3
275,0.75,0,0.5,5,3
276,0.75,0,0.5,5,3
277,0.75,0,0.5,5,3
278,0.75,0,0.5,5,3
279,0.75,0,0.5,5,3
280,0.75,0,0.5,5,3
281,0.75,0,0.5,5,3
282,0.75,0,0.5,5,3
283,0.75,0,0.5,5,3
284,0.75,0,0.5,5,3
285,0.75,0,0.5,5,3
286,0.75,0,0.5,5,3
287,0.75,0,0.5,5,3
288,0.75,0,0.5,5,3
289,0.75,0,0.5,5,3
290,0.75,0,0.5,5,3
291,0.75,0,0.5,5,3
292,0.75,0,0.5,5,3
293,0.75,0,0.5,5,3
294,0.75,0,0.5,5,3
295,0.75,0,0.5,5,3
296,0.75,0,0.5,5,3
297,0.75,0,0.5,5,3
298,0.75,0,0.5,5,3
299,0.75,0,0.5,5,3
300,0.75,0,0.5,5,3
301,0.75,0,0.5,5,3
302,0.75,0,0.5,5,3
303,0.75,0,0.5,5,3
304,0.75,0,0.5,5,3
305,0.75,0,0.5,5,3
306,0.75,0,0.5,5,3
307,0.75,0,0.5,5,3
308,0.75,0,0.5,5,3
309,0.75,0,0.5,5,3
310,0.75,0,0.5,5,3
311,0.75,0,0.5,5,3
312,0.75,0,0.5,5,3
313,0.75,0,0.5,5,3
314,0.75,0,0.5,5,3
315,0.75,0,0.5,5,3
316,0.75,0,0.5,5,3
317,0.75,0,0.5,5,3
318,0.75,0,0.5,5,3
319,0.75,0,0.5,5,3
320,0.75,0,0.5,5,3
321,0.75,0,0.5,5,3
322,0.75,0,0.5,5,3
323,0.75,0,0.5,5,3
324,0.75,0,0.5,5,3
325,0.75,0,0.5,5,3
326,0.75,0,0.5,5,3
327,0.75,0,0.5,5,3
328,0.75,0,0.5,5,3
329,0.75,0,0.5,5,3
330,0.75,0,0.5,5,3
331,0.75,0,0.5,5,3
332,0.75,0,0.5,5,3
333,0.75,0,0.5,5,3
334,0.75,0,0.5,5,3
335,0.75,0,0.5,5,3
336,0.75,0,0.5,5,3
337,0.75,0,0.5,5,3
338,0.75,0,0.5,5,3
339,0.75,0,0.5,5,3
340,0.75,0,0.5,5,3
341,0.75,0,0.5,5,3
342,0.75,0,0.5,5,3
343,0.75,0,0.5,5,3
344,0.75,0,0.5,5,3
345,0.75,0,0.5,5,3
346,0.75,0,0.5,5,3
347,0.75,0,0.5,5,3
348,0.75,0,0.5,5,3
349,0.75,0,0.5,5,3
350,0.75,0,0.5,5,3
351,0.75,0,0.5,5,3
352,0.75,0,0.5,5,3
353,0.75,0,0.5,5,3
354,0.75,0,0.5,5,3
355,0.75,0,0.5,5,3
356,0.75,0,0.5,5,3
357,0.75,0,0.5,5,3
358,0.75,0,0.5,5,3
359,0.75,0,0.5,5,3
360,0.75,0,0.5,5,3
361,0.75,0,0.5,5,3
362,0.75,0,0.5,5,3
363,0.75,0,0.5,5,3
